Outcome,Sequence,Num_Passes,Pass_Outcomes
Pass failed,Van der Sar → Valencia → Giggs → Park → Rooney → Valencia → Ferdinand → Carrick → Van der Sar → Giggs → Park → Evra → Vidić → Ferdinand → Van der Sar → Evra → Rooney,17,"[{'from': 'Van der Sar', 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Vidić'), 'success': np.False_}]"
Pass failed,Van der Sar → Carrick → Vidić → Ferdinand → Van der Sar,5,"[{'from': 'Van der Sar', 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Rooney'), 'success': np.False_}]"
Success,Van der Sar → Giggs → Rooney → Valencia → Ferdinand → Giggs → Park → Rooney → Giggs → Rooney → Chicharito,10,"[{'from': 'Van der Sar', 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Success,Van der Sar → Ferdinand → Valencia → Carrick → Fábio → Giggs → Park → Rooney → Chicharito,8,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Fábio → Giggs → Park → Carrick → Chicharito,5,"[{'from': 'Van der Sar', 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar → Giggs → Rooney → Park → Evra → Giggs,6,"[{'from': 'Van der Sar', 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Valencia'), 'success': np.False_}]"
Pass failed,Van der Sar → Fábio → Giggs,3,"[{'from': 'Van der Sar', 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Chicharito'), 'success': np.False_}]"
Pass failed,Van der Sar → Ferdinand,2,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Park'), 'success': np.False_}]"
Success,Van der Sar → Ferdinand → Valencia → Fábio → Rooney → Park → Rooney → Giggs → Vidić → Carrick → Chicharito,10,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar → Carrick → Giggs,3,"[{'from': 'Van der Sar', 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Valencia'), 'success': np.False_}]"
Success,Van der Sar → Ferdinand → Vidić → Carrick → Valencia → Fábio → Giggs → Park → Evra → Giggs → Park → Rooney → Chicharito,12,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Ferdinand → Valencia → Rooney → Chicharito,4,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Ferdinand → Carrick → Chicharito,3,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Park → Carrick → Giggs → Rooney → Chicharito,5,"[{'from': 'Van der Sar', 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Giggs → Ferdinand → Vidić → Ferdinand → Valencia → Fábio → Ferdinand → Rooney → Valencia → Giggs → Rooney → Park → Carrick → Chicharito,14,"[{'from': 'Van der Sar', 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar → Giggs → Park → Rooney → Valencia → Ferdinand → Carrick → Giggs → Evra → Vidić → Ferdinand → Van der Sar → Evra → Park → Fábio → Valencia → Ferdinand → Vidić → Van der Sar → Fábio → Giggs,21,"[{'from': 'Van der Sar', 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Chicharito'), 'success': np.False_}]"
Success,Van der Sar → Park → Giggs → Rooney → Chicharito,4,"[{'from': 'Van der Sar', 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Ferdinand → Valencia → Fábio → Valencia → Ferdinand → Van der Sar → Giggs → Park → Rooney → Fábio → Valencia → Carrick → Chicharito,13,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Pass failed,Van der Sar → Giggs → Fábio → Ferdinand → Carrick → Valencia → Ferdinand,7,"[{'from': 'Van der Sar', 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Park'), 'success': np.False_}]"
Pass failed,Van der Sar → Ferdinand,2,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Park'), 'success': np.False_}]"
